しんしん	心身・身心	身心，精神和肉体
せんてい	選定
みょうじ	名字
おりたたみ	折り畳み
みんよう	民謡
つや	艷
きゅう	旧
かくりつ	確立
おうじょ	王女・皇女
せいもん	正門
す	巣
どうよう	童謡
ちょくご	直後
さくげん	削減
けいさい	掲載
ためいき	ため息
じゅうふく	重複
つうろ	通路
かい	貝
つね	常
てんかい	展開
ねあげ	値上げ
こくおう	国王
ほうていしき	方程式
たいせん	大戦
もくげき	目撃
しんけい	神経
もくざい	木材
つとめさき	勤め先
じつれい	実例
こんやく	婚約
めかた	目方
はたらきもの	働き者
きょうそう	競走
にゅうしゃ	入社
どうきょ	同居
ふくしゃ	複写
さくねんど	昨年度
しせつ	施設
ふんすい	噴水
しゅだい	主題
しゅうい	周囲
どうかん	同感
しりつ	市立
きょくせん	曲線
らくだい	落第
かんさつ	観察
さっかく	錯覚
つうか	通過
じえい	自衛
てっこう	鉄鋼
みょうねん	明年
りんじ	臨時
ろくが	録画
いんしゅ	飲酒
ざんしょ	残暑
けい	軽
やまい	病
げんさんち	原産地
ついきゅう	追求
くるう	狂う
ーーー	
はんけい	半径
まゆ	眉
しりつ	私立
ひやけ	日焼け
ししゃ	使者
へいれつ	
もと	
こんこう	
たいしょう	
から	
かつりょく	
はら	
あさめし	
どうわ	
かちまけ	
けんちょう	
せいれき	
ものおき	
りょうし	
せいしゃいん	
いかり	
こうちょう	
ぶんめい	
じょうえい	
ぞう	
しんぱいごと	
たにん	
せいゆう	
ほど	
ぼうふうう	
つな	
はんじ	
たいはん	
いざかや	
こうすい	
いんりょく	
そくりょう	
せいけい	
しきゅう	
しげき	
よしあし	
はんたいご	
かよう	
へいこう	
でんき	
ようせき	
けいこく	
ようもう	
かいせい	
きゅうよう	
のう	
こうじつ	
ろんり	
はやね	
とういつ	
ながいき	
ひなん	
へいこう	
しゃどう	
しっけ	
しゃしょう	
かねんぶつ	
ひりつ	
りか	
えほん	
ごうどう	
しょく	
ご	
しゅざい	
じゅうやく	
もちぬし	
てんのう	
